STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2007,House Wife,0,0,0,0,0,0,0,1105,811,405,159,2480,2480
ANDHRA PRADESH,2007,Service (Government),0,71,86,63,0,220,1,26,19,9,0,55,275
ANDHRA PRADESH,2007,Service (Private),6,239,490,266,102,1103,3,41,105,72,49,270,1373
ANDHRA PRADESH,2007,Public Sector Undertaking,0,46,99,62,3,210,4,8,13,4,0,29,239
ANDHRA PRADESH,2007,Student,63,327,27,3,0,420,80,193,6,0,0,279,699
ANDHRA PRADESH,2007,Unemployed,0,120,146,74,0,340,7,43,10,3,0,63,403
ANDHRA PRADESH,2007,Self-employed (Business activity),0,262,374,249,40,925,0,16,16,22,1,55,980
ANDHRA PRADESH,2007,Professional Activity,2,110,151,109,49,421,7,31,17,3,0,58,479
ANDHRA PRADESH,2007,Farming/Agriculture Activity,5,325,620,421,137,1508,20,113,90,53,13,289,1797
ANDHRA PRADESH,2007,Others (Please Specify),9,636,913,563,341,2462,32,283,166,126,61,668,3130
ANDHRA PRADESH,2007,Retired Person,0,1,7,4,55,67,0,0,0,6,5,11,78
ANDHRA PRADESH,2007,Others (Please Specify),36,799,747,490,201,2273,40,280,197,101,58,676,2949
ANDHRA PRADESH,2007,Total,121,2936,3660,2304,928,9949,194,2139,1450,804,346,4933,14882
ANDHRA PRADESH,2007,Total Salaried,6,356,675,391,105,1533,8,75,137,85,49,354,1887
ANDHRA PRADESH,2007,Total Self-employed,16,1333,2058,1342,567,5316,59,443,289,204,75,1070,6386
ARUNACHAL PRADESH,2007,House Wife,0,0,0,0,0,0,0,2,8,0,0,10,10
ARUNACHAL PRADESH,2007,Service (Government),0,0,5,4,0,9,0,0,0,0,0,0,9
ARUNACHAL PRADESH,2007,Service (Private),0,10,5,2,1,18,0,1,0,0,0,1,19
ARUNACHAL PRADESH,2007,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2007,Student,1,2,0,0,0,3,2,6,0,0,0,8,11
ARUNACHAL PRADESH,2007,Unemployed,1,11,12,1,0,25,0,1,1,0,0,2,27
ARUNACHAL PRADESH,2007,Self-employed (Business activity),0,1,1,2,0,4,0,0,0,0,0,0,4
ARUNACHAL PRADESH,2007,Professional Activity,0,1,0,0,0,1,0,0,0,0,0,0,1
ARUNACHAL PRADESH,2007,Farming/Agriculture Activity,0,4,9,1,0,14,0,1,0,0,0,1,15
ARUNACHAL PRADESH,2007,Others (Please Specify),0,6,10,0,0,16,1,3,0,1,0,5,21
ARUNACHAL PRADESH,2007,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2
ARUNACHAL PRADESH,2007,Others (Please Specify),0,4,2,0,0,6,2,0,1,1,0,4,10
ARUNACHAL PRADESH,2007,Total,2,39,44,10,3,98,5,14,10,2,0,31,129
ARUNACHAL PRADESH,2007,Total Salaried,0,10,10,6,1,27,0,1,0,0,0,1,28
ARUNACHAL PRADESH,2007,Total Self-employed,0,12,20,3,0,35,1,4,0,1,0,6,41
ASSAM,2007,House Wife,0,0,0,0,0,0,0,188,214,95,19,516,516
ASSAM,2007,Service (Government),0,6,7,2,0,15,0,0,2,0,0,2,17
ASSAM,2007,Service (Private),0,9,11,10,0,30,0,7,3,2,0,12,42
ASSAM,2007,Public Sector Undertaking,0,13,52,8,1,74,0,9,8,2,0,19,93
ASSAM,2007,Student,29,90,0,0,0,119,23,62,3,1,1,90,209
ASSAM,2007,Unemployed,0,7,2,15,6,30,0,5,1,0,0,6,36
ASSAM,2007,Self-employed (Business activity),0,105,182,88,2,377,1,35,13,2,0,51,428
ASSAM,2007,Professional Activity,0,30,86,34,0,150,0,0,0,0,0,0,150
ASSAM,2007,Farming/Agriculture Activity,0,90,111,67,8,276,0,0,2,0,0,2,278
ASSAM,2007,Others (Please Specify),1,300,279,233,24,837,5,61,49,9,8,132,969
ASSAM,2007,Retired Person,0,0,0,0,7,7,0,0,0,0,0,0,7
ASSAM,2007,Others (Please Specify),8,54,69,50,20,201,4,60,36,9,7,116,317
ASSAM,2007,Total,38,704,799,507,68,2116,33,427,331,120,35,946,3062
ASSAM,2007,Total Salaried,0,28,70,20,1,119,0,16,13,4,0,33,152
ASSAM,2007,Total Self-employed,1,525,658,422,34,1640,6,96,64,11,8,185,1825
BIHAR,2007,House Wife,0,0,0,0,0,0,0,63,73,29,6,171,171
BIHAR,2007,Service (Government),0,2,2,4,0,8,0,0,0,0,0,0,8
BIHAR,2007,Service (Private),0,12,9,15,0,36,0,0,0,0,0,0,36
BIHAR,2007,Public Sector Undertaking,0,4,5,8,2,19,0,0,0,0,0,0,19
BIHAR,2007,Student,14,34,7,1,0,56,26,32,1,0,0,59,115
BIHAR,2007,Unemployed,0,36,12,14,3,65,0,9,10,0,0,19,84
BIHAR,2007,Self-employed (Business activity),0,2,1,4,1,8,0,2,1,0,0,3,11
BIHAR,2007,Professional Activity,1,1,0,1,0,3,0,0,0,0,0,0,3
BIHAR,2007,Farming/Agriculture Activity,1,29,27,19,2,78,0,0,8,0,0,8,86
BIHAR,2007,Others (Please Specify),1,50,34,25,11,121,3,35,7,14,8,67,188
BIHAR,2007,Retired Person,0,0,0,1,2,3,0,0,0,0,0,0,3
BIHAR,2007,Others (Please Specify),16,42,49,23,7,137,15,55,17,8,9,104,241
BIHAR,2007,Total,33,212,146,115,28,534,44,196,117,51,23,431,965
BIHAR,2007,Total Salaried,0,18,16,27,2,63,0,0,0,0,0,0,63
BIHAR,2007,Total Self-employed,3,82,62,49,14,210,3,37,16,14,8,78,288
