STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2008,House Wife,0,0,0,0,0,0,0,984,1012,381,139,2516,2516
ANDHRA PRADESH,2008,Service (Government),0,17,108,121,0,246,0,7,37,15,0,59,305
ANDHRA PRADESH,2008,Service (Private),0,239,420,217,92,968,0,68,75,31,15,189,1157
ANDHRA PRADESH,2008,Public Sector Undertaking,4,123,155,181,68,531,0,34,33,21,22,110,641
ANDHRA PRADESH,2008,Student,37,233,19,5,0,294,44,133,9,1,0,187,481
ANDHRA PRADESH,2008,Unemployed,0,185,164,170,0,519,0,7,20,25,0,52,571
ANDHRA PRADESH,2008,Self-employed (Business activity),0,194,458,218,65,935,0,11,17,0,2,30,965
ANDHRA PRADESH,2008,Professional Activity,2,60,202,157,38,459,0,25,4,0,4,33,492
ANDHRA PRADESH,2008,Farming/Agriculture Activity,2,436,628,505,176,1747,6,142,91,84,35,358,2105
ANDHRA PRADESH,2008,Others (Please Specify),7,561,815,427,146,1956,34,270,140,95,41,580,2536
ANDHRA PRADESH,2008,Retired Person,0,0,21,7,24,52,0,0,5,2,8,15,67
ANDHRA PRADESH,2008,Others (Please Specify),39,666,679,469,161,2014,38,201,141,83,41,504,2518
ANDHRA PRADESH,2008,Total,91,2714,3669,2477,770,9721,122,1882,1584,738,307,4633,14354
ANDHRA PRADESH,2008,Total Salaried,4,379,683,519,160,1745,0,109,145,67,37,358,2103
ANDHRA PRADESH,2008,Total Self-employed,11,1251,2103,1307,425,5097,40,448,252,179,82,1001,6098
ARUNACHAL PRADESH,2008,House Wife,0,0,0,0,0,0,0,6,7,1,0,14,14
ARUNACHAL PRADESH,2008,Service (Government),0,10,14,1,0,25,0,0,1,0,0,1,26
ARUNACHAL PRADESH,2008,Service (Private),0,3,2,0,0,5,0,0,3,0,0,3,8
ARUNACHAL PRADESH,2008,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Student,1,1,0,0,0,2,0,3,0,0,0,3,5
ARUNACHAL PRADESH,2008,Unemployed,0,4,6,1,0,11,0,0,1,0,0,1,12
ARUNACHAL PRADESH,2008,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Farming/Agriculture Activity,0,6,1,5,0,12,0,0,0,0,0,0,12
ARUNACHAL PRADESH,2008,Others (Please Specify),0,19,1,0,0,20,0,10,1,0,0,11,31
ARUNACHAL PRADESH,2008,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2008,Others (Please Specify),1,0,1,0,0,2,0,0,0,0,0,0,2
ARUNACHAL PRADESH,2008,Total,2,43,25,7,0,77,0,19,13,1,0,33,110
ARUNACHAL PRADESH,2008,Total Salaried,0,13,16,1,0,30,0,0,4,0,0,4,34
ARUNACHAL PRADESH,2008,Total Self-employed,0,25,2,5,0,32,0,10,1,0,0,11,43
ASSAM,2008,House Wife,0,0,0,0,0,0,0,226,247,89,11,573,573
ASSAM,2008,Service (Government),0,2,13,4,0,19,0,2,0,0,0,2,21
ASSAM,2008,Service (Private),0,16,26,10,0,52,0,12,6,3,0,21,73
ASSAM,2008,Public Sector Undertaking,0,5,28,13,0,46,0,5,1,1,0,7,53
ASSAM,2008,Student,21,108,0,0,0,129,12,65,0,0,0,77,206
ASSAM,2008,Unemployed,0,15,3,19,0,37,0,7,0,0,0,7,44
ASSAM,2008,Self-employed (Business activity),0,117,171,86,1,375,0,35,8,10,1,54,429
ASSAM,2008,Professional Activity,0,33,66,32,2,133,0,0,4,0,0,4,137
ASSAM,2008,Farming/Agriculture Activity,0,70,61,55,6,192,0,5,0,0,0,5,197
ASSAM,2008,Others (Please Specify),2,241,314,156,28,741,1,72,37,9,4,123,864
ASSAM,2008,Retired Person,0,0,0,0,4,4,0,0,0,0,1,1,5
ASSAM,2008,Others (Please Specify),5,109,90,23,15,242,4,74,57,8,2,145,387
ASSAM,2008,Total,28,716,772,398,56,1970,17,503,360,120,19,1019,2989
ASSAM,2008,Total Salaried,0,23,67,27,0,117,0,19,7,4,0,30,147
ASSAM,2008,Total Self-employed,2,461,612,329,37,1441,1,112,49,19,5,186,1627
BIHAR,2008,House Wife,0,0,0,0,0,0,0,66,88,18,2,174,174
BIHAR,2008,Service (Government),0,3,2,2,1,8,0,0,0,0,0,0,8
BIHAR,2008,Service (Private),0,7,8,15,1,31,0,1,2,1,0,4,35
BIHAR,2008,Public Sector Undertaking,0,10,2,1,0,13,0,9,1,0,0,10,23
BIHAR,2008,Student,9,26,7,0,0,42,3,13,0,0,0,16,58
BIHAR,2008,Unemployed,2,24,17,6,0,49,1,3,0,0,0,4,53
BIHAR,2008,Self-employed (Business activity),0,8,7,0,0,15,0,0,0,0,0,0,15
BIHAR,2008,Professional Activity,0,1,3,1,0,5,0,0,0,0,0,0,5
BIHAR,2008,Farming/Agriculture Activity,0,15,21,21,5,62,0,4,1,0,0,5,67
BIHAR,2008,Others (Please Specify),2,10,13,12,19,56,8,7,26,4,10,55,111
BIHAR,2008,Retired Person,0,0,0,0,9,9,0,0,0,0,6,6,15
BIHAR,2008,Others (Please Specify),22,114,122,39,22,319,21,62,27,17,5,132,451
BIHAR,2008,Total,35,218,202,97,57,609,33,165,145,40,23,406,1015
BIHAR,2008,Total Salaried,0,20,12,18,2,52,0,10,3,1,0,14,66
BIHAR,2008,Total Self-employed,2,34,44,34,24,138,8,11,27,4,10,60,198
CHHATTISGARH,2008,House Wife,0,0,0,0,0,0,2,499,275,125,36,937,937
CHHATTISGARH,2008,Service (Government),0,9,17,13,0,39,0,6,0,0,0,6,45
CHHATTISGARH,2008,Service (Private),0,71,77,29,6,183,0,9,6,3,0,18,201
CHHATTISGARH,2008,Public Sector Undertaking,0,1,6,3,0,10,0,0,0,0,0,0,10
CHHATTISGARH,2008,Student,37,162,2,1,0,202,35,130,3,0,0,168,370
CHHATTISGARH,2008,Unemployed,0,86,65,16,0,167,0,6,2,2,0,10,177
CHHATTISGARH,2008,Self-employed (Business activity),0,51,63,33,6,153,0,4,0,0,0,4,157
CHHATTISGARH,2008,Professional Activity,0,27,26,19,8,80,0,0,11,2,0,13,93
CHHATTISGARH,2008,Farming/Agriculture Activity,9,436,576,346,124,1491,20,101,107,46,8,282,1773
CHHATTISGARH,2008,Others (Please Specify),13,213,242,149,45,662,11,82,45,17,9,164,826
CHHATTISGARH,2008,Retired Person,0,0,0,2,0,2,0,0,0,0,0,0,2
CHHATTISGARH,2008,Others (Please Specify),6,69,82,74,28,259,14,17,29,23,12,95,354
CHHATTISGARH,2008,Total,65,1125,1156,685,217,3248,82,854,478,218,65,1697,4945
CHHATTISGARH,2008,Total Salaried,0,81,100,45,6,232,0,15,6,3,0,24,256
CHHATTISGARH,2008,Total Self-employed,22,727,907,547,183,2386,31,187,163,65,17,463,2849
GOA,2008,House Wife,0,0,0,0,0,0,0,25,19,10,11,65,65
GOA,2008,Service (Government),0,0,3,0,0,3,0,1,0,0,0,1,4
GOA,2008,Service (Private),0,23,25,7,1,56,0,5,2,0,0,7,63
GOA,2008,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,2008,Student,0,5,0,0,0,5,2,5,0,0,0,7,12
GOA,2008,Unemployed,0,18,22,12,2,54,1,13,3,0,0,17,71
GOA,2008,Self-employed (Business activity),0,1,7,3,0,11,0,0,1,0,0,1,12
GOA,2008,Professional Activity,0,0,1,0,0,1,0,0,0,0,0,0,1
GOA,2008,Farming/Agriculture Activity,0,0,2,2,2,6,0,0,0,0,0,0,6
GOA,2008,Others (Please Specify),0,1,3,0,4,8,0,1,0,0,0,1,9
GOA,2008,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2
GOA,2008,Others (Please Specify),0,7,21,5,4,37,0,4,1,0,0,5,42
GOA,2008,Total,0,55,84,29,15,183,3,54,26,10,11,104,287
GOA,2008,Total Salaried,0,23,28,7,1,59,0,6,2,0,0,8,67
GOA,2008,Total Self-employed,0,2,13,5,6,26,0,1,1,0,0,2,28
GUJARAT,2008,House Wife,0,0,0,0,0,0,3,751,622,255,113,1744,1744
GUJARAT,2008,Service (Government),0,9,30,18,0,57,0,2,3,0,0,5,62
GUJARAT,2008,Service (Private),0,178,244,119,3,544,0,25,30,9,0,64,608
GUJARAT,2008,Public Sector Undertaking,0,23,55,22,2,102,0,16,7,2,0,25,127
GUJARAT,2008,Student,13,131,9,2,0,155,18,122,7,2,0,149,304
GUJARAT,2008,Unemployed,1,206,219,76,11,513,4,28,8,4,1,45,558
GUJARAT,2008,Self-employed (Business activity),0,75,124,78,10,287,0,0,3,0,0,3,290
GUJARAT,2008,Professional Activity,0,155,161,85,19,420,0,4,4,0,0,8,428
GUJARAT,2008,Farming/Agriculture Activity,0,115,182,92,52,441,1,21,19,38,6,85,526
GUJARAT,2008,Others (Please Specify),2,225,241,133,26,627,2,50,42,9,7,110,737
GUJARAT,2008,Retired Person,0,3,1,48,90,142,0,0,0,11,34,45,187
GUJARAT,2008,Others (Please Specify),9,130,156,114,38,447,11,71,41,17,7,147,594
GUJARAT,2008,Total,25,1250,1422,787,251,3735,39,1090,786,347,168,2430,6165
GUJARAT,2008,Total Salaried,0,210,329,159,5,703,0,43,40,11,0,94,797
GUJARAT,2008,Total Self-employed,2,570,708,388,107,1775,3,75,68,47,13,206,1981
HARYANA,2008,House Wife,0,0,0,0,0,0,0,159,135,52,20,366,366
HARYANA,2008,Service (Government),0,29,40,14,7,90,0,3,0,0,0,3,93
HARYANA,2008,Service (Private),0,95,101,38,5,239,0,9,2,0,0,11,250
HARYANA,2008,Public Sector Undertaking,0,41,33,11,7,92,0,3,1,0,0,4,96
