STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2010,House Wife,0,0,0,0,0,0,0,1067,879,409,246,2601,2601
ANDHRA PRADESH,2010,Service (Government),0,39,96,52,0,187,0,41,31,0,0,72,259
ANDHRA PRADESH,2010,Service (Private),0,352,361,198,18,929,0,58,36,11,9,114,1043
ANDHRA PRADESH,2010,Public Sector Undertaking,0,156,184,96,49,485,0,9,29,9,0,47,532
ANDHRA PRADESH,2010,Student,41,333,0,0,0,374,62,220,0,0,0,282,656
ANDHRA PRADESH,2010,Unemployed,0,266,208,87,0,561,0,27,48,0,0,75,636
ANDHRA PRADESH,2010,Self-employed (Business activity),0,324,371,192,50,937,0,43,2,10,3,58,995
ANDHRA PRADESH,2010,Professional Activity,0,86,75,37,20,218,0,6,1,2,1,10,228
ANDHRA PRADESH,2010,Farming/Agriculture Activity,4,563,824,573,166,2130,12,165,137,40,41,395,2525
ANDHRA PRADESH,2010,Others (Please Specify),32,963,1216,894,368,3473,29,343,187,112,76,747,4220
ANDHRA PRADESH,2010,Retired Person,0,0,0,9,57,66,0,0,0,11,7,18,84
ANDHRA PRADESH,2010,Others (Please Specify),18,448,527,428,166,1587,27,166,222,74,46,535,2122
ANDHRA PRADESH,2010,Total,95,3530,3862,2566,894,10947,130,2145,1572,678,429,4954,15901
ANDHRA PRADESH,2010,Total Salaried,0,547,641,346,67,1601,0,108,96,20,9,233,1834
ANDHRA PRADESH,2010,Total Self-employed,36,1936,2486,1696,604,6758,41,557,327,164,121,1210,7968
ARUNACHAL PRADESH,2010,House Wife,0,0,0,0,0,0,0,9,7,1,0,17,17
ARUNACHAL PRADESH,2010,Service (Government),0,6,4,1,0,11,0,0,0,0,0,0,11
ARUNACHAL PRADESH,2010,Service (Private),0,3,5,1,0,9,0,0,1,0,0,1,10
ARUNACHAL PRADESH,2010,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Student,4,4,0,0,0,8,4,4,0,0,0,8,16
ARUNACHAL PRADESH,2010,Unemployed,0,2,4,0,0,6,0,1,0,0,0,1,7
ARUNACHAL PRADESH,2010,Self-employed (Business activity),0,4,0,0,0,4,0,0,0,0,0,0,4
ARUNACHAL PRADESH,2010,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Farming/Agriculture Activity,0,7,9,1,1,18,0,0,0,0,0,0,18
ARUNACHAL PRADESH,2010,Others (Please Specify),0,4,4,3,1,12,0,0,0,0,0,0,12
ARUNACHAL PRADESH,2010,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,Others (Please Specify),0,17,6,0,0,23,0,12,0,1,0,13,36
ARUNACHAL PRADESH,2010,Total,4,47,32,6,2,91,4,26,8,2,0,40,131
ARUNACHAL PRADESH,2010,Total Salaried,0,9,9,2,0,20,0,0,1,0,0,1,21
ARUNACHAL PRADESH,2010,Total Self-employed,0,15,13,4,2,34,0,0,0,0,0,0,34
ASSAM,2010,House Wife,0,0,0,0,0,0,0,205,146,55,9,415,415
ASSAM,2010,Service (Government),0,2,7,9,0,18,0,1,0,0,0,1,19
ASSAM,2010,Service (Private),0,19,28,10,0,57,0,11,5,0,0,16,73
ASSAM,2010,Public Sector Undertaking,0,19,51,26,2,98,0,2,12,6,0,20,118
ASSAM,2010,Student,20,128,0,0,0,148,14,85,0,0,0,99,247
ASSAM,2010,Unemployed,0,3,28,34,1,66,0,12,2,2,0,16,82
ASSAM,2010,Self-employed (Business activity),0,112,163,95,1,371,0,36,23,11,0,70,441
ASSAM,2010,Professional Activity,0,59,45,29,3,136,0,7,3,0,0,10,146
ASSAM,2010,Farming/Agriculture Activity,0,132,126,82,12,352,0,6,9,1,1,17,369
ASSAM,2010,Others (Please Specify),9,189,219,112,36,565,8,96,83,42,9,238,803
ASSAM,2010,Retired Person,0,0,2,2,6,10,0,0,0,0,0,0,10
ASSAM,2010,Others (Please Specify),5,82,66,43,9,205,10,28,19,5,3,65,270
ASSAM,2010,Total,34,745,735,442,70,2026,32,489,302,122,22,967,2993
ASSAM,2010,Total Salaried,0,40,86,45,2,173,0,14,17,6,0,37,210
ASSAM,2010,Total Self-employed,9,492,553,318,52,1424,8,145,118,54,10,335,1759
BIHAR,2010,House Wife,0,0,0,0,0,0,0,80,89,26,9,204,204
BIHAR,2010,Service (Government),0,6,5,2,0,13,0,2,6,0,0,8,21
BIHAR,2010,Service (Private),0,23,12,5,1,41,2,2,3,1,0,8,49
BIHAR,2010,Public Sector Undertaking,0,2,0,0,0,2,0,0,0,0,0,0,2
BIHAR,2010,Student,12,21,6,0,0,39,14,13,8,0,0,35,74
BIHAR,2010,Unemployed,0,36,28,9,0,73,3,3,6,3,0,15,88
BIHAR,2010,Self-employed (Business activity),0,4,6,2,0,12,0,2,2,0,0,4,16
BIHAR,2010,Professional Activity,0,2,2,1,0,5,0,0,0,0,0,0,5
BIHAR,2010,Farming/Agriculture Activity,0,27,39,20,5,91,0,3,1,0,0,4,95
BIHAR,2010,Others (Please Specify),12,49,108,80,15,264,7,17,25,2,0,51,315
BIHAR,2010,Retired Person,0,0,0,0,1,1,0,0,0,0,2,2,3
BIHAR,2010,Others (Please Specify),16,58,66,17,14,171,28,105,19,21,10,183,354
BIHAR,2010,Total,40,228,272,136,36,712,54,227,159,53,21,514,1226
BIHAR,2010,Total Salaried,0,31,17,7,1,56,2,4,9,1,0,16,72
BIHAR,2010,Total Self-employed,12,82,155,103,20,372,7,22,28,2,0,59,431
CHHATTISGARH,2010,House Wife,0,0,0,0,0,0,2,453,286,91,30,862,862
CHHATTISGARH,2010,Service (Government),0,8,16,14,0,38,0,1,0,1,0,2,40
CHHATTISGARH,2010,Service (Private),0,127,103,55,2,287,0,22,18,2,2,44,331
CHHATTISGARH,2010,Public Sector Undertaking,0,16,13,15,0,44,0,0,0,0,0,0,44
CHHATTISGARH,2010,Student,47,166,9,1,0,223,24,125,5,0,0,154,377
CHHATTISGARH,2010,Unemployed,4,177,306,104,2,593,2,13,4,0,0,19,612
CHHATTISGARH,2010,Self-employed (Business activity),0,42,31,18,7,98,0,2,4,0,0,6,104
CHHATTISGARH,2010,Professional Activity,0,86,95,40,10,231,0,2,1,1,0,4,235
CHHATTISGARH,2010,Farming/Agriculture Activity,3,196,274,219,86,778,2,65,137,103,41,348,1126
CHHATTISGARH,2010,Others (Please Specify),0,294,423,411,175,1303,5,93,113,47,26,284,1587
CHHATTISGARH,2010,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1
CHHATTISGARH,2010,Others (Please Specify),56,272,268,225,128,949,23,86,79,47,19,254,1203
CHHATTISGARH,2010,Total,110,1384,1538,1102,411,4545,58,862,647,292,118,1977,6522
CHHATTISGARH,2010,Total Salaried,0,151,132,84,2,369,0,23,18,3,2,46,415
CHHATTISGARH,2010,Total Self-employed,3,618,823,688,278,2410,7,162,255,151,67,642,3052
GOA,2010,House Wife,0,0,0,0,0,0,0,14,18,9,11,52,52
GOA,2010,Service (Government),0,1,4,4,0,9,0,0,0,0,0,0,9
GOA,2010,Service (Private),0,24,31,11,1,67,0,3,0,0,0,3,70
GOA,2010,Public Sector Undertaking,0,1,1,0,0,2,0,0,0,0,0,0,2
GOA,2010,Student,2,10,1,0,0,13,2,8,0,0,0,10,23
GOA,2010,Unemployed,0,15,19,14,3,51,1,7,2,0,0,10,61
GOA,2010,Self-employed (Business activity),0,2,4,5,0,11,0,0,0,0,0,0,11
GOA,2010,Professional Activity,0,0,0,1,0,1,0,0,0,0,0,0,1
GOA,2010,Farming/Agriculture Activity,0,2,3,3,7,15,0,0,0,0,0,0,15
GOA,2010,Others (Please Specify),0,5,5,4,4,18,0,0,0,0,0,0,18
GOA,2010,Retired Person,0,0,0,0,3,3,0,0,0,0,0,0,3
GOA,2010,Others (Please Specify),0,9,13,21,3,46,0,5,1,0,5,11,57
GOA,2010,Total,2,69,81,63,21,236,3,37,21,9,16,86,322
GOA,2010,Total Salaried,0,26,36,15,1,78,0,3,0,0,0,3,81
GOA,2010,Total Self-employed,0,9,12,13,11,45,0,0,0,0,0,0,45
GUJARAT,2010,House Wife,0,0,0,0,0,0,2,726,512,253,82,1575,1575
GUJARAT,2010,Service (Government),0,17,31,14,0,62,0,6,5,2,0,13,75
GUJARAT,2010,Service (Private),0,197,202,116,9,524,0,42,44,11,1,98,622
GUJARAT,2010,Public Sector Undertaking,0,23,31,20,3,77,0,11,7,6,0,24,101
GUJARAT,2010,Student,19,125,6,1,0,151,18,121,3,0,0,142,293
GUJARAT,2010,Unemployed,1,217,231,81,18,548,0,39,17,5,0,61,609
GUJARAT,2010,Self-employed (Business activity),1,151,185,70,21,428,6,8,12,11,2,39,467
GUJARAT,2010,Professional Activity,2,116,127,63,13,321,0,10,5,4,0,19,340
GUJARAT,2010,Farming/Agriculture Activity,1,127,201,104,25,458,1,18,25,17,4,65,523
GUJARAT,2010,Others (Please Specify),3,193,203,168,32,599,4,58,34,26,8,130,729
GUJARAT,2010,Retired Person,0,2,1,11,85,99,0,0,0,8,44,52,151
GUJARAT,2010,Others (Please Specify),10,175,194,110,57,546,11,66,58,24,17,176,722
GUJARAT,2010,Total,37,1343,1412,758,263,3813,42,1105,722,367,158,2394,6207
GUJARAT,2010,Total Salaried,0,237,264,150,12,663,0,59,56,19,1,135,798
GUJARAT,2010,Total Self-employed,7,587,716,405,91,1806,11,94,76,58,14,253,2059
HARYANA,2010,House Wife,0,0,0,0,0,0,0,174,124,50,16,364,364
HARYANA,2010,Service (Government),0,14,16,10,0,40,0,24,18,3,0,45,85
HARYANA,2010,Service (Private),0,78,72,42,2,194,0,18,7,2,0,27,221
HARYANA,2010,Public Sector Undertaking,0,8,2,1,0,11,1,4,0,0,0,5,16
HARYANA,2010,Student,12,101,6,0,0,119,8,21,0,0,0,29,148
HARYANA,2010,Unemployed,3,143,118,67,16,347,0,21,9,4,3,37,384
HARYANA,2010,Self-employed (Business activity),0,16,12,16,2,46,0,0,0,0,0,0,46
HARYANA,2010,Professional Activity,0,14,17,13,1,45,0,0,0,0,0,0,45
HARYANA,2010,Farming/Agriculture Activity,0,94,103,59,25,281,0,9,5,2,0,16,297
HARYANA,2010,Others (Please Specify),2,190,183,133,45,553,5,11,20,9,5,50,603
HARYANA,2010,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,2010,Others (Please Specify),7,181,209,114,31,542,3,38,59,39,5,144,686
HARYANA,2010,Total,24,839,738,455,122,2178,17,320,242,109,29,717,2895
HARYANA,2010,Total Salaried,0,100,90,53,2,245,1,46,25,5,0,77,322
HARYANA,2010,Total Self-employed,2,314,315,221,73,925,5,20,25,11,5,66,991
HIMACHAL PRADESH,2010,House Wife,0,0,0,0,0,0,0,44,24,15,5,88,88
HIMACHAL PRADESH,2010,Service (Government),0,2,7,11,0,20,0,1,1,1,0,3,23
HIMACHAL PRADESH,2010,Service (Private),0,10,17,9,2,38,0,4,2,1,0,7,45
