STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
ANDHRA PRADESH,2005,House Wife,0,0,0,0,0,0,0,932,693,382,172,2179,2179
ANDHRA PRADESH,2005,Service (Government),0,10,43,57,0,110,0,6,24,0,0,30,140
ANDHRA PRADESH,2005,Service (Private),2,213,286,161,37,699,0,69,39,18,5,131,830
ANDHRA PRADESH,2005,Public Sector Undertaking,0,42,109,80,2,233,0,5,36,3,0,44,277
ANDHRA PRADESH,2005,Student,53,197,24,0,0,274,65,155,6,0,0,226,500
ANDHRA PRADESH,2005,Unemployed,1,169,160,52,48,430,0,70,10,0,0,80,510
ANDHRA PRADESH,2005,Self-employed (Business activity),2,238,304,244,94,882,0,53,31,27,4,115,997
ANDHRA PRADESH,2005,Professional Activity,0,37,61,43,41,182,1,26,8,3,0,38,220
ANDHRA PRADESH,2005,Farming/Agriculture Activity,6,481,729,578,223,2017,22,127,174,85,65,473,2490
ANDHRA PRADESH,2005,Others (Please Specify),25,357,443,256,168,1249,23,208,138,70,29,468,1717
ANDHRA PRADESH,2005,Retired Person,0,2,0,35,20,57,0,1,0,1,1,3,60
ANDHRA PRADESH,2005,Others (Please Specify),54,698,1019,650,311,2732,50,252,201,144,143,790,3522
ANDHRA PRADESH,2005,Total,143,2444,3178,2156,944,8865,161,1904,1360,733,419,4577,13442
ANDHRA PRADESH,2005,Total Salaried,2,265,438,298,39,1042,0,80,99,21,5,205,1247
ANDHRA PRADESH,2005,Total Self-employed,33,1113,1537,1121,526,4330,46,414,351,185,98,1094,5424
ARUNACHAL PRADESH,2005,House Wife,0,0,0,0,0,0,0,1,6,1,1,9,9
ARUNACHAL PRADESH,2005,Service (Government),0,0,3,0,0,3,0,1,0,0,0,1,4
ARUNACHAL PRADESH,2005,Service (Private),0,0,4,0,0,4,0,0,1,0,0,1,5
ARUNACHAL PRADESH,2005,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Student,0,1,0,0,0,1,0,1,0,0,0,1,2
ARUNACHAL PRADESH,2005,Unemployed,0,1,2,1,0,4,0,1,0,0,0,1,5
ARUNACHAL PRADESH,2005,Self-employed (Business activity),0,5,11,1,1,18,0,1,0,0,0,1,19
ARUNACHAL PRADESH,2005,Professional Activity,0,1,0,0,0,1,0,0,0,0,0,0,1
ARUNACHAL PRADESH,2005,Farming/Agriculture Activity,0,5,8,2,3,18,0,5,2,0,0,7,25
ARUNACHAL PRADESH,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2005,Total,0,13,28,4,4,49,0,10,9,1,1,21,70
ARUNACHAL PRADESH,2005,Total Salaried,0,0,7,0,0,7,0,1,1,0,0,2,9
ARUNACHAL PRADESH,2005,Total Self-employed,0,11,19,3,4,37,0,6,2,0,0,8,45
ASSAM,2005,House Wife,0,0,0,0,0,0,0,281,206,76,3,566,566
ASSAM,2005,Service (Government),0,2,6,6,0,14,0,0,0,0,0,0,14
ASSAM,2005,Service (Private),0,17,17,9,0,43,0,8,2,0,0,10,53
ASSAM,2005,Public Sector Undertaking,0,20,17,19,0,56,0,4,0,0,0,4,60
ASSAM,2005,Student,16,87,0,0,0,103,18,33,0,0,0,51,154
ASSAM,2005,Unemployed,0,5,40,33,9,87,0,0,8,1,0,9,96
ASSAM,2005,Self-employed (Business activity),0,112,164,72,2,350,0,14,13,1,1,29,379
ASSAM,2005,Professional Activity,0,15,32,19,0,66,0,0,0,0,3,3,69
ASSAM,2005,Farming/Agriculture Activity,0,60,117,65,14,256,2,16,16,9,0,43,299
ASSAM,2005,Others (Please Specify),11,260,292,119,21,703,11,46,43,19,5,124,827
ASSAM,2005,Retired Person,0,0,0,3,6,9,0,0,0,0,2,2,11
ASSAM,2005,Others (Please Specify),9,65,106,63,21,264,6,23,11,10,4,54,318
ASSAM,2005,Total,36,643,791,408,73,1951,37,425,299,116,18,895,2846
ASSAM,2005,Total Salaried,0,39,40,34,0,113,0,12,2,0,0,14,127
ASSAM,2005,Total Self-employed,11,447,605,275,37,1375,13,76,72,29,9,199,1574
BIHAR,2005,House Wife,0,0,0,0,0,0,0,55,38,11,5,109,109
BIHAR,2005,Service (Government),0,0,3,2,0,5,0,1,0,0,0,1,6
BIHAR,2005,Service (Private),0,12,15,7,0,34,0,0,2,0,0,2,36
BIHAR,2005,Public Sector Undertaking,0,1,3,5,0,9,0,0,0,0,0,0,9
BIHAR,2005,Student,7,24,2,0,0,33,3,5,6,0,0,14,47
BIHAR,2005,Unemployed,0,11,5,4,3,23,0,5,0,0,0,5,28
BIHAR,2005,Self-employed (Business activity),0,7,6,4,1,18,0,0,0,0,0,0,18
BIHAR,2005,Professional Activity,0,8,7,4,0,19,0,0,0,0,0,0,19
BIHAR,2005,Farming/Agriculture Activity,1,5,17,8,1,32,0,3,2,2,0,7,39
BIHAR,2005,Others (Please Specify),1,11,9,1,0,22,0,5,2,2,0,9,31
BIHAR,2005,Retired Person,0,0,0,1,1,2,0,1,1,0,0,2,4
BIHAR,2005,Others (Please Specify),5,44,39,34,8,130,2,29,26,8,2,67,197
BIHAR,2005,Total,14,123,106,70,14,327,5,104,77,23,7,216,543
BIHAR,2005,Total Salaried,0,13,21,14,0,48,0,1,2,0,0,3,51
BIHAR,2005,Total Self-employed,2,31,39,17,2,91,0,8,4,4,0,16,107
CHHATTISGARH,2005,House Wife,0,0,0,0,0,0,8,433,283,115,52,891,891
CHHATTISGARH,2005,Service (Government),0,27,18,12,1,58,0,3,1,1,1,6,64
CHHATTISGARH,2005,Service (Private),14,48,64,44,8,178,2,6,7,2,0,17,195
CHHATTISGARH,2005,Public Sector Undertaking,0,20,11,2,0,33,0,9,3,3,0,15,48
CHHATTISGARH,2005,Student,19,91,6,0,0,116,21,46,5,0,0,72,188
CHHATTISGARH,2005,Unemployed,17,139,50,17,5,228,3,10,7,4,1,25,253
CHHATTISGARH,2005,Self-employed (Business activity),13,36,43,43,12,147,1,13,7,5,1,27,174
CHHATTISGARH,2005,Professional Activity,13,33,50,27,8,131,1,4,2,2,0,9,140
CHHATTISGARH,2005,Farming/Agriculture Activity,6,301,490,309,94,1200,0,81,76,44,11,212,1412
CHHATTISGARH,2005,Others (Please Specify),24,83,180,82,41,410,8,41,42,15,11,117,527
CHHATTISGARH,2005,Retired Person,0,7,1,0,3,11,0,0,0,0,1,1,12
CHHATTISGARH,2005,Others (Please Specify),54,277,261,140,61,793,29,96,32,18,9,184,977
CHHATTISGARH,2005,Total,160,1062,1174,676,233,3305,73,742,465,209,87,1576,4881
CHHATTISGARH,2005,Total Salaried,14,95,93,58,9,269,2,18,11,6,1,38,307
CHHATTISGARH,2005,Total Self-employed,56,453,763,461,155,1888,10,139,127,66,23,365,2253
GOA,2005,House Wife,0,0,0,0,0,0,0,18,8,13,8,47,47
GOA,2005,Service (Government),0,2,3,2,0,7,0,0,0,0,0,0,7
GOA,2005,Service (Private),0,13,25,8,0,46,0,4,2,0,0,6,52
GOA,2005,Public Sector Undertaking,0,2,3,1,0,6,0,0,0,0,0,0,6
GOA,2005,Student,2,6,0,0,0,8,1,6,0,0,0,7,15
GOA,2005,Unemployed,0,15,17,8,5,45,0,10,1,1,1,13,58
GOA,2005,Self-employed (Business activity),0,2,3,3,0,8,0,0,1,0,0,1,9
GOA,2005,Professional Activity,0,1,0,0,0,1,0,0,0,0,0,0,1
GOA,2005,Farming/Agriculture Activity,0,0,4,2,4,10,0,0,0,0,1,1,11
GOA,2005,Others (Please Specify),0,2,7,2,2,13,0,0,1,0,0,1,14
GOA,2005,Retired Person,0,0,0,3,1,4,0,0,0,0,1,1,5
GOA,2005,Others (Please Specify),0,11,23,11,4,49,1,4,2,1,0,8,57
GOA,2005,Total,2,54,85,40,16,197,2,42,15,15,11,85,282
GOA,2005,Total Salaried,0,17,31,11,0,59,0,4,2,0,0,6,65
GOA,2005,Total Self-employed,0,5,14,7,6,32,0,0,2,0,1,3,35
GUJARAT,2005,House Wife,0,0,0,0,0,0,0,548,498,203,71,1320,1320
GUJARAT,2005,Service (Government),0,21,35,17,0,73,0,1,1,2,0,4,77
GUJARAT,2005,Service (Private),0,135,191,97,5,428,0,32,19,5,0,56,484
GUJARAT,2005,Public Sector Undertaking,0,18,33,16,0,67,0,2,1,0,0,3,70
GUJARAT,2005,Student,16,82,7,0,0,105,21,99,0,0,0,120,225
GUJARAT,2005,Unemployed,1,151,140,75,5,372,1,26,8,3,2,40,412
GUJARAT,2005,Self-employed (Business activity),0,84,108,59,16,267,0,1,0,0,1,2,269
GUJARAT,2005,Professional Activity,0,120,115,68,17,320,0,10,3,0,0,13,333
GUJARAT,2005,Farming/Agriculture Activity,0,159,182,136,42,519,2,45,29,16,4,96,615
GUJARAT,2005,Others (Please Specify),3,139,173,67,10,392,2,34,18,9,5,68,460
GUJARAT,2005,Retired Person,0,0,1,35,68,104,0,0,0,5,23,28,132
GUJARAT,2005,Others (Please Specify),5,71,97,53,29,255,7,53,24,16,13,113,368
GUJARAT,2005,Total,25,980,1082,623,192,2902,33,851,601,259,119,1863,4765
GUJARAT,2005,Total Salaried,0,174,259,130,5,568,0,35,21,7,0,63,631
GUJARAT,2005,Total Self-employed,3,502,578,330,85,1498,4,90,50,25,10,179,1677
HARYANA,2005,House Wife,0,0,0,0,0,0,2,119,125,49,8,303,303
HARYANA,2005,Service (Government),0,14,16,7,0,37,0,1,5,0,0,6,43
HARYANA,2005,Service (Private),0,72,48,24,0,144,1,6,3,1,0,11,155
HARYANA,2005,Public Sector Undertaking,0,4,10,1,0,15,0,3,2,0,0,5,20
HARYANA,2005,Student,7,57,3,0,0,67,6,25,3,0,0,34,101
HARYANA,2005,Unemployed,5,64,54,17,6,146,0,7,4,1,1,13,159
HARYANA,2005,Self-employed (Business activity),0,10,38,15,8,71,0,0,0,0,0,0,71
HARYANA,2005,Professional Activity,0,6,11,0,1,18,1,0,0,0,0,1,19
HARYANA,2005,Farming/Agriculture Activity,1,37,57,23,10,128,2,6,2,2,0,12,140
HARYANA,2005,Others (Please Specify),5,83,68,34,12,202,2,11,3,3,0,19,221
HARYANA,2005,Retired Person,0,0,6,4,1,11,0,0,2,2,1,5,16
HARYANA,2005,Others (Please Specify),10,163,297,149,35,654,1,79,38,18,8,144,798
HARYANA,2005,Total,28,510,608,274,73,1493,15,257,187,76,18,553,2046
HARYANA,2005,Total Salaried,0,90,74,32,0,196,1,10,10,1,0,22,218
HARYANA,2005,Total Self-employed,6,136,174,72,31,419,5,17,5,5,0,32,451
HIMACHAL PRADESH,2005,House Wife,0,0,0,0,0,0,0,41,26,8,0,75,75
HIMACHAL PRADESH,2005,Service (Government),0,1,9,4,0,14,0,1,1,0,0,2,16
HIMACHAL PRADESH,2005,Service (Private),0,10,14,4,1,29,0,0,0,0,0,0,29
HIMACHAL PRADESH,2005,Public Sector Undertaking,0,1,5,1,0,7,0,1,0,0,0,1,8
HIMACHAL PRADESH,2005,Student,0,9,1,0,0,10,1,14,0,0,0,15,25
HIMACHAL PRADESH,2005,Unemployed,0,9,9,1,0,19,0,5,3,0,0,8,27
HIMACHAL PRADESH,2005,Self-employed (Business activity),0,2,3,2,0,7,0,0,0,0,0,0,7
HIMACHAL PRADESH,2005,Professional Activity,0,1,3,0,0,4,0,0,0,0,0,0,4
HIMACHAL PRADESH,2005,Farming/Agriculture Activity,0,8,3,7,2,20,0,0,0,0,0,0,20
HIMACHAL PRADESH,2005,Others (Please Specify),0,12,24,16,12,64,0,4,6,4,1,15,79
HIMACHAL PRADESH,2005,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,2005,Others (Please Specify),2,16,15,7,0,40,0,15,11,1,2,29,69
HIMACHAL PRADESH,2005,Total,2,69,86,42,15,214,1,81,47,13,3,145,359
HIMACHAL PRADESH,2005,Total Salaried,0,12,28,9,1,50,0,2,1,0,0,3,53
HIMACHAL PRADESH,2005,Total Self-employed,0,23,33,25,14,95,0,4,6,4,1,15,110
JAMMU & KASHMIR,2005,House Wife,0,0,0,0,0,0,0,17,14,1,0,32,32
JAMMU & KASHMIR,2005,Service (Government),0,14,4,0,0,18,0,0,0,0,0,0,18
